Date,Close/Last,Volume,Open,High,Low
08/11/2020,334.14,3603710,338.24,338.88,333.38
08/10/2020,336.96,2222132,336.42,337.15,334.33
08/07/2020,335.95,3050296,334.60,336.18,333.6507
08/06/2020,335.71,3301089,332.85,335.81,332.48
08/05/2020,333.45,2435103,332.83,333.70,332.52
08/04/2020,331.30,3581597,329.19,331.40,329.19
08/03/2020,330.11,2835276,329.66,330.93,329.0639
07/31/2020,327.82,4683442,327.21,327.89,322.63
07/30/2020,325.26,3287164,323.19,325.71,320.90
07/29/2020,326.38,2339925,323.41,327.015,323.36
07/28/2020,322.50,2513072,323.67,324.93,322.14
07/27/2020,324.50,3434018,322.89,324.69,322.0595
07/24/2020,322.13,3421832,322.20,323.27,320.55
07/23/2020,324.20,3024171,327.72,328.52,322.75
07/22/2020,328.17,3177170,325.91,330.06,325.79
07/21/2020,326.25,3109155,327.75,328.22,325.26
07/20/2020,325.66,2354211,322.69,326.36,321.901
07/17/2020,322.99,2251451,323.15,323.85,321.01
07/16/2020,322.04,2390903,321.05,322.50,320.35
07/15/2020,323.16,3892276,323.69,324.32,320.53
07/14/2020,320.17,7143627,314.52,320.59,313.24
07/13/2020,316.07,5091445,321.35,323.9699,315.38
07/10/2020,318.90,2754838,315.48,319.14,314.00
07/09/2020,315.72,3307529,318.21,318.33,311.89
07/08/2020,317.33,3685970,315.83,317.54,313.94
07/07/2020,314.98,2861718,316.59,318.75,314.60
07/06/2020,318.26,4464488,317.67,318.65,316.80
07/02/2020,313.45,3496509,315.49,316.91,312.72
07/01/2020,311.81,4022801,310.74,313.09,310.25
06/30/2020,309.69,5475457,305.18,311.409,305.05
06/29/2020,305.66,4065198,302.56,305.66,300.11
06/26/2020,301.14,4969014,307.35,307.56,300.62
06/25/2020,308.50,6432424,304.66,308.83,302.44
06/24/2020,305.30,5060840,311.04,311.73,303.36
06/23/2020,313.21,3794887,314.70,315.75,312.865
06/22/2020,311.94,4186227,309.17,312.24,307.95
06/19/2020,309.72,3833855,315.33,315.60,308.38
06/18/2020,311.62,4008876,309.82,312.13,309.36
06/17/2020,311.38,3531995,313.938,314.20,310.69
06/16/2020,312.79,5248834,315.39,315.50,307.51
06/15/2020,306.89,6281202,297.79,308.05,296.49
06/12/2020,305.36,7851872,309.29,310.14,299.62
06/11/2020,301.59,7901493,312.57,313.10,301.08
06/10/2020,320.11,6002841,322.60,323.56,319.40
06/09/2020,322.01,4326414,321.47,323.54,320.5216
06/08/2020,324.40,3822946,321.23,324.55,320.81
06/05/2020,320.48,7160801,318.38,322.45,318.32
06/04/2020,312.34,6997190,312.18,314.12,310.17
06/03/2020,313.39,4870448,311.33,314.32,311.02
06/02/2020,309.23,3187979,307.65,309.23,306.17
